     time (s)       traj1:dt1e-7     traj2:dt1e-7     traj3:dt1e-8    traj4:dt1e-8
   3.6200000e-04   3.5648613e+02   3.5236826e+02   3.6157862e+02   3.7142628e+02
   3.6400000e-04   3.5550408e+02   3.5146707e+02   3.6157862e+02   3.7142628e+02
   3.6600000e-04   3.5452202e+02   3.4966467e+02   3.5873899e+02   3.7142628e+02
   3.6800000e-04   3.5353997e+02   3.5056587e+02   3.5779245e+02   3.7046154e+02
   3.7000000e-04   3.5157586e+02   3.4966467e+02   3.5779245e+02   3.7046154e+02
   3.7200000e-04   3.5157586e+02   3.4876347e+02   3.5779245e+02   3.6949679e+02
   3.7400000e-04   3.5059380e+02   3.4696108e+02   3.5684591e+02   3.6949679e+02
   3.7600000e-04   3.4961175e+02   3.4696108e+02   3.5684591e+02   3.6949679e+02
   3.7800000e-04   3.4961175e+02   3.4696108e+02   3.5684591e+02   3.6949679e+02
   3.8000000e-04   3.4961175e+02   3.4696108e+02   3.5589937e+02   3.6949679e+02
   3.8200000e-04   3.4961175e+02   3.4696108e+02   3.5495283e+02   3.7046154e+02
   3.8400000e-04   3.4961175e+02   3.4605988e+02   3.5400629e+02   3.6853205e+02
   3.8600000e-04   3.4862969e+02   3.4425749e+02   3.5211321e+02   3.6853205e+02
   3.8800000e-04   3.4764763e+02   3.4425749e+02   3.5116667e+02   3.6853205e+02
   3.9000000e-04   3.4666558e+02   3.4335629e+02   3.4832704e+02   3.6660256e+02
   3.9200000e-04   3.4568352e+02   3.4335629e+02   3.4832704e+02   3.6467308e+02
   3.9400000e-04   3.4371941e+02   3.4245509e+02   3.4832704e+02   3.6274359e+02
   3.9600000e-04   3.4273736e+02   3.4065269e+02   3.4832704e+02   3.5984936e+02
   3.9800000e-04   3.4175530e+02   3.4065269e+02   3.4738050e+02   3.5791987e+02
   4.0000000e-04   3.4175530e+02   3.3975150e+02   3.4643396e+02   3.5695513e+02
   4.0200000e-04   3.4077325e+02   3.3975150e+02   3.4548742e+02   3.5599038e+02
   4.0400000e-04   3.3979119e+02   3.3975150e+02   3.4548742e+02   3.5502564e+02
   4.0600000e-04   3.3979119e+02   3.3885030e+02   3.4548742e+02   3.5309615e+02
   4.0800000e-04   3.3782708e+02   3.3704790e+02   3.4454088e+02   3.5213141e+02
   4.1000000e-04   3.3782708e+02   3.3704790e+02   3.4170126e+02   3.5213141e+02
   4.1200000e-04   3.3782708e+02   3.3434431e+02   3.4075472e+02   3.5020192e+02
   4.1400000e-04   3.3684502e+02   3.3434431e+02   3.3886164e+02   3.4827244e+02
   4.1600000e-04   3.3586297e+02   3.3434431e+02   3.3696855e+02   3.4827244e+02
   4.1800000e-04   3.3488091e+02   3.3434431e+02   3.3602201e+02   3.4634295e+02
   4.2000000e-04   3.3291680e+02   3.3434431e+02   3.3507547e+02   3.4537821e+02
   4.2200000e-04   3.3291680e+02   3.3434431e+02   3.3412893e+02   3.4537821e+02
   4.2400000e-04   3.3291680e+02   3.3344311e+02   3.3412893e+02   3.4537821e+02
   4.2600000e-04   3.3193475e+02   3.3344311e+02   3.3318239e+02   3.4537821e+02
   4.2800000e-04   3.2898858e+02   3.3164072e+02   3.3223585e+02   3.4537821e+02
   4.3000000e-04   3.2898858e+02   3.2983832e+02   3.3034277e+02   3.4441346e+02
   4.3200000e-04   3.2800653e+02   3.2983832e+02   3.3034277e+02   3.4055449e+02
   4.3400000e-04   3.2800653e+02   3.2623353e+02   3.2939623e+02   3.3862500e+02
   4.3600000e-04   3.2702447e+02   3.2443114e+02   3.2939623e+02   3.3862500e+02
   4.3800000e-04   3.2702447e+02   3.2352994e+02   3.2939623e+02   3.3669551e+02
   4.4000000e-04   3.2604241e+02   3.2262874e+02   3.2655660e+02   3.3573077e+02
   4.4200000e-04   3.2506036e+02   3.2172754e+02   3.2655660e+02   3.3573077e+02
   4.4400000e-04   3.2211419e+02   3.2172754e+02   3.2655660e+02   3.3476603e+02
   4.4600000e-04   3.2211419e+02   3.2082635e+02   3.2561006e+02   3.3380128e+02
   4.4800000e-04   3.2211419e+02   3.1992515e+02   3.2466352e+02   3.3380128e+02
   4.5000000e-04   3.2211419e+02   3.1992515e+02   3.2277044e+02   3.3090705e+02
   4.5200000e-04   3.2211419e+02   3.1902395e+02   3.2277044e+02   3.3090705e+02
   4.5400000e-04   3.2211419e+02   3.1812275e+02   3.2277044e+02   3.2994231e+02
   4.5600000e-04   3.2113214e+02   3.1722156e+02   3.2087736e+02   3.2897756e+02
   4.5800000e-04   3.2113214e+02   3.1722156e+02   3.2087736e+02   3.2897756e+02
   4.6000000e-04   3.1916803e+02   3.1722156e+02   3.1993082e+02   3.2897756e+02
   4.6200000e-04   3.1818597e+02   3.1541916e+02   3.1898428e+02   3.2994231e+02
   4.6400000e-04   3.1818597e+02   3.1451796e+02   3.1898428e+02   3.2801282e+02
   4.6600000e-04   3.1720392e+02   3.1451796e+02   3.1709119e+02   3.2801282e+02
   4.6800000e-04   3.1720392e+02   3.1271557e+02   3.1519811e+02   3.2801282e+02
   4.7000000e-04   3.1720392e+02   3.1271557e+02   3.1519811e+02   3.2704808e+02
   4.7200000e-04   3.1523980e+02   3.1271557e+02   3.1425157e+02   3.2704808e+02
   4.7400000e-04   3.1425775e+02   3.1091317e+02   3.1425157e+02   3.2608333e+02
   4.7600000e-04   3.1425775e+02   3.1001198e+02   3.1425157e+02   3.2608333e+02
   4.7800000e-04   3.1425775e+02   3.1001198e+02   3.1330503e+02   3.2608333e+02
   4.8000000e-04   3.1425775e+02   3.1001198e+02   3.1235849e+02   3.2608333e+02
   4.8200000e-04   3.1425775e+02   3.1001198e+02   3.1046541e+02   3.2608333e+02
   4.8400000e-04   3.1425775e+02   3.0911078e+02   3.0857233e+02   3.2608333e+02
   4.8600000e-04   3.1327569e+02   3.0640719e+02   3.0857233e+02   3.2511859e+02
   4.8800000e-04   3.1327569e+02   3.0460479e+02   3.0857233e+02   3.2511859e+02
   4.9000000e-04   3.1229364e+02   3.0460479e+02   3.0762579e+02   3.2318910e+02
   4.9200000e-04   3.1131158e+02   3.0460479e+02   3.0762579e+02   3.2125962e+02
   4.9400000e-04   3.0934747e+02   3.0460479e+02   3.0478616e+02   3.2125962e+02
   4.9600000e-04   3.0934747e+02   3.0460479e+02   3.0383962e+02   3.2125962e+02
   4.9800000e-04   3.0836542e+02   3.0100000e+02   3.0194654e+02   3.2125962e+02
   5.0000000e-04   3.0738336e+02   3.0009880e+02   3.0194654e+02   3.2125962e+02
   5.0200000e-04   3.0640131e+02   2.9919760e+02   3.0194654e+02   3.2125962e+02
   5.0400000e-04   3.0640131e+02   2.9739521e+02   3.0100000e+02   3.2029487e+02
   5.0600000e-04   3.0640131e+02   2.9469162e+02   3.0100000e+02   3.2029487e+02
   5.0800000e-04   3.0738336e+02   2.9469162e+02   3.0100000e+02   3.2029487e+02
   5.1000000e-04   3.0738336e+02   2.9379042e+02   3.0100000e+02   3.1933013e+02
   5.1200000e-04   3.0738336e+02   2.9288922e+02   3.0100000e+02   3.1836538e+02
   5.1400000e-04   3.0738336e+02   2.9288922e+02   3.0100000e+02   3.1740064e+02
   5.1600000e-04   3.0640131e+02   2.9198802e+02   3.0100000e+02   3.1740064e+02
   5.1800000e-04   3.0541925e+02   2.9198802e+02   3.0100000e+02   3.1740064e+02
   5.2000000e-04   3.0443719e+02   2.9198802e+02   3.0100000e+02   3.1740064e+02
   5.2200000e-04   3.0345514e+02   2.9198802e+02   3.0100000e+02   3.1547115e+02
   5.2400000e-04   3.0247308e+02   2.9108683e+02   3.0100000e+02   3.1257692e+02
   5.2600000e-04   3.0050897e+02   2.9018563e+02   3.0100000e+02   3.1257692e+02
   5.2800000e-04   3.0050897e+02   2.8748204e+02   2.9816038e+02   3.1257692e+02
   5.3000000e-04   3.0050897e+02   2.8477844e+02   2.9816038e+02   3.1064744e+02
   5.3200000e-04   3.0149103e+02   2.8567964e+02   2.9816038e+02   3.0968269e+02
   5.3400000e-04   3.0149103e+02   2.8567964e+02   2.9816038e+02   3.0871795e+02
   5.3600000e-04   3.0149103e+02   2.8477844e+02   2.9532075e+02   3.0871795e+02
   5.3800000e-04   3.0149103e+02   2.8297605e+02   2.9437421e+02   3.0871795e+02
   5.4000000e-04   3.0149103e+02   2.8117365e+02   2.9437421e+02   3.0871795e+02
   5.4200000e-04   3.0050897e+02   2.8027246e+02   2.9248113e+02   3.0775321e+02
   5.4400000e-04   3.0050897e+02   2.8027246e+02   2.9058805e+02   3.0775321e+02
   5.4600000e-04   2.9854486e+02   2.7847006e+02   2.8964151e+02   3.0775321e+02
   5.4800000e-04   2.9854486e+02   2.7756886e+02   2.8964151e+02   3.0775321e+02
   5.5000000e-04   2.9854486e+02   2.7576647e+02   2.8964151e+02   3.0582372e+02
   5.5200000e-04   2.9658075e+02   2.7576647e+02   2.8869497e+02   3.0485897e+02
   5.5400000e-04   2.9559869e+02   2.7486527e+02   2.8680189e+02   3.0485897e+02
   5.5600000e-04   2.9461664e+02   2.7396407e+02   2.8680189e+02   3.0389423e+02
