	time (s)    traj1		traj2		traj3		traj4		traj5
   8.0000000e-06   5.8100000e+02   5.8600000e+02   5.8300000e+02   5.8500000e+02   5.8500000e+02
   8.1000000e-06   5.8100000e+02   5.8600000e+02   5.8300000e+02   5.8300000e+02   5.8400000e+02
   8.2000000e-06   5.8100000e+02   5.8500000e+02   5.8200000e+02   5.8200000e+02   5.8400000e+02
   8.3000000e-06   5.8100000e+02   5.8400000e+02   5.8200000e+02   5.8200000e+02   5.8400000e+02
   8.4000000e-06   5.8100000e+02   5.8400000e+02   5.8200000e+02   5.8200000e+02   5.8400000e+02
   8.5000000e-06   5.8000000e+02   5.8300000e+02   5.8300000e+02   5.8100000e+02   5.8400000e+02
   8.6000000e-06   5.8000000e+02   5.8300000e+02   5.8200000e+02   5.8100000e+02   5.8400000e+02
   8.7000000e-06   5.8000000e+02   5.8300000e+02   5.8200000e+02   5.8100000e+02   5.8400000e+02
   8.8000000e-06   5.7900000e+02   5.8300000e+02   5.8200000e+02   5.8100000e+02   5.8300000e+02
   8.9000000e-06   5.7900000e+02   5.8300000e+02   5.8200000e+02   5.8100000e+02   5.8300000e+02
   9.0000000e-06   5.7900000e+02   5.8300000e+02   5.8200000e+02   5.8000000e+02   5.8300000e+02
   9.1000000e-06   5.7800000e+02   5.8300000e+02   5.8200000e+02   5.8000000e+02   5.8200000e+02
   9.2000000e-06   5.7700000e+02   5.8100000e+02   5.8200000e+02   5.7900000e+02   5.8200000e+02
   9.3000000e-06   5.7700000e+02   5.8100000e+02   5.8200000e+02   5.7900000e+02   5.8200000e+02
   9.4000000e-06   5.7600000e+02   5.8100000e+02   5.8200000e+02   5.7900000e+02   5.8200000e+02
   9.5000000e-06   5.7400000e+02   5.8100000e+02   5.8200000e+02   5.7900000e+02   5.8200000e+02
   9.6000000e-06   5.7300000e+02   5.8100000e+02   5.8200000e+02   5.7900000e+02   5.8200000e+02
   9.7000000e-06   5.7300000e+02   5.8100000e+02   5.8200000e+02   5.7800000e+02   5.8200000e+02
   9.8000000e-06   5.7300000e+02   5.8100000e+02   5.8200000e+02   5.7800000e+02   5.8200000e+02
   9.9000000e-06   5.7300000e+02   5.8100000e+02   5.8100000e+02   5.7800000e+02   5.8200000e+02
   1.0000000e-05   5.7300000e+02   5.8100000e+02   5.8100000e+02   5.7800000e+02   5.8200000e+02
