time (s)        Na         STDEV
   2.0300000e-07   8.2848101e+01   3.9324052e+00
   2.0350000e-07   8.2822785e+01   3.9670421e+00
   2.0400000e-07   8.2759494e+01   3.9523287e+00
   2.0450000e-07   8.2746835e+01   3.9596308e+00
   2.0500000e-07   8.2734177e+01   3.9765623e+00
   2.0550000e-07   8.2721519e+01   3.9740721e+00
   2.0600000e-07   8.2658228e+01   4.0505969e+00
   2.0650000e-07   8.2620253e+01   4.0928449e+00
   2.0700000e-07   8.2594937e+01   4.1060274e+00
   2.0750000e-07   8.2569620e+01   4.1314415e+00
   2.0800000e-07   8.2518987e+01   4.1443838e+00
   2.0850000e-07   8.2493671e+01   4.1690970e+00
   2.0900000e-07   8.2430380e+01   4.1961018e+00
   2.0950000e-07   8.2392405e+01   4.1952895e+00
   2.1000000e-07   8.2379747e+01   4.1949414e+00
   2.1050000e-07   8.2341772e+01   4.2150100e+00
   2.1100000e-07   8.2303797e+01   4.2133927e+00
   2.1150000e-07   8.2303797e+01   4.2133927e+00
   2.1200000e-07   8.2278481e+01   4.2060296e+00
   2.1250000e-07   8.2240506e+01   4.1701478e+00
   2.1300000e-07   8.2215190e+01   4.1715486e+00
   2.1350000e-07   8.2189873e+01   4.2003539e+00
   2.1400000e-07   8.2126582e+01   4.1644623e+00
   2.1450000e-07   8.2101266e+01   4.1774576e+00
   2.1500000e-07   8.2075949e+01   4.1810689e+00
   2.1550000e-07   8.2050633e+01   4.1845220e+00
   2.1600000e-07   8.2025316e+01   4.1786229e+00
   2.1650000e-07   8.2000000e+01   4.2092694e+00
   2.1700000e-07   8.1987342e+01   4.1955216e+00
   2.1750000e-07   8.1924051e+01   4.2055280e+00
   2.1800000e-07   8.1873418e+01   4.2467698e+00
   2.1850000e-07   8.1810127e+01   4.2909444e+00
   2.1900000e-07   8.1797468e+01   4.2768900e+00
   2.1950000e-07   8.1721519e+01   4.3410288e+00
   2.2000000e-07   8.1683544e+01   4.3487231e+00
   2.2050000e-07   8.1645570e+01   4.3324594e+00
   2.2100000e-07   8.1620253e+01   4.3421128e+00
   2.2150000e-07   8.1594937e+01   4.3279621e+00
   2.2200000e-07   8.1569620e+01   4.3106414e+00
   2.2250000e-07   8.1468354e+01   4.3466328e+00
   2.2300000e-07   8.1443038e+01   4.3434207e+00
   2.2350000e-07   8.1430380e+01   4.3343693e+00
   2.2400000e-07   8.1392405e+01   4.3098507e+00
   2.2450000e-07   8.1379747e+01   4.3095118e+00
   2.2500000e-07   8.1367089e+01   4.2972180e+00
   2.2550000e-07   8.1329114e+01   4.2538716e+00
   2.2600000e-07   8.1303797e+01   4.3126363e+00
   2.2650000e-07   8.1291139e+01   4.3239106e+00
   2.2700000e-07   8.1240506e+01   4.2703966e+00
   2.2750000e-07   8.1151899e+01   4.2909822e+00
   2.2800000e-07   8.1151899e+01   4.2909822e+00
   2.2850000e-07   8.1101266e+01   4.3163224e+00
   2.2900000e-07   8.1088608e+01   4.3180892e+00
   2.2950000e-07   8.1075949e+01   4.3287120e+00
   2.3000000e-07   8.1075949e+01   4.3287120e+00
   2.3050000e-07   8.1012658e+01   4.3515210e+00
   2.3100000e-07   8.0987342e+01   4.3367649e+00
   2.3150000e-07   8.0936709e+01   4.3510735e+00
   2.3200000e-07   8.0848101e+01   4.3620996e+00
   2.3250000e-07   8.0835443e+01   4.3572232e+00
   2.3300000e-07   8.0784810e+01   4.3755465e+00
   2.3350000e-07   8.0772152e+01   4.3880647e+00
   2.3400000e-07   8.0746835e+01   4.3837355e+00
   2.3450000e-07   8.0721519e+01   4.3763253e+00
   2.3500000e-07   8.0696203e+01   4.3863262e+00
   2.3550000e-07   8.0658228e+01   4.3878798e+00
   2.3600000e-07   8.0632911e+01   4.3594201e+00
   2.3650000e-07   8.0607595e+01   4.3806618e+00
   2.3700000e-07   8.0607595e+01   4.3806618e+00
   2.3750000e-07   8.0607595e+01   4.3806618e+00
   2.3800000e-07   8.0569620e+01   4.3697197e+00
   2.3850000e-07   8.0556962e+01   4.3845499e+00
   2.3900000e-07   8.0544304e+01   4.3992933e+00
   2.3950000e-07   8.0506329e+01   4.3614671e+00
   2.4000000e-07   8.0455696e+01   4.3494694e+00
   2.4050000e-07   8.0430380e+01   4.3697197e+00
   2.4100000e-07   8.0405063e+01   4.3955659e+00
   2.4150000e-07   8.0354430e+01   4.3941627e+00
